Freq,Amp
0,0
0.499002,0
0.998004,0
1.49701,0
1.99601,0
2.49501,0
2.99401,0
3.49301,0
3.99202,0
4.49102,0
4.99002,0
5.48902,0
5.98802,0
6.48703,0
6.98603,0
7.48503,0
7.98403,0
8.48303,0
8.98204,0
9.48104,0
9.98004,0
10.479,0.0598802
10.978,0.122255
11.477,0.184631
11.976,0.247006
12.475,0.309381
12.9741,0.371756
13.4731,0.434132
13.9721,0.496507
14.4711,0.558882
14.9701,0.621257
15.4691,0.683633
15.9681,0.746008
16.4671,0.808383
16.9661,0.870758
17.4651,0.933134
17.9641,0.995509
18.4631,1
18.9621,1
19.4611,1
19.9601,1
20.4591,1
20.9581,1
21.4571,1
21.9561,1
22.4551,1
22.9541,1
23.4531,1
23.9521,1
24.4511,1
24.9501,1
25.4491,1
25.9481,1
26.4471,1
26.9461,1
27.4451,1
27.9441,1
28.4431,1
28.9421,1
29.4411,1
29.9401,1
30.4391,1
30.9381,1
31.4371,1
31.9361,1
32.4351,1
32.9341,1
33.4331,1
33.9321,1
34.4311,1
34.9301,1
35.4291,1
35.9281,1
36.4271,1
36.9261,1
37.4251,1
37.9242,1
38.4232,1
38.9222,1
39.4212,1
39.9202,1
40.4192,0.958084
40.9182,0.908184
41.4172,0.858283
41.9162,0.808383
42.4152,0.758483
42.9142,0.708583
43.4132,0.658683
43.9122,0.608782
44.4112,0.558882
44.9102,0.508982
45.4092,0.459082
45.9082,0.409182
46.4072,0.359281
46.9062,0.309381
47.4052,0.259481
47.9042,0.209581
48.4032,0.159681
48.9022,0.10978
49.4012,0.0598802
49.9002,0.00998004
50.3992,0
50.8982,0
51.3972,0
51.8962,0
52.3952,0
52.8942,0
53.3932,0
53.8922,0
54.3912,0
54.8902,0
55.3892,0
55.8882,0
56.3872,0
56.8862,0
57.3852,0
57.8842,0
58.3832,0
58.8822,0
59.3812,0
59.8802,0
60.3792,0
60.8782,0
61.3772,0
61.8762,0
62.3752,0
62.8743,0
63.3733,0
63.8723,0
64.3713,0
64.8703,0
65.3693,0
65.8683,0
66.3673,0
66.8663,0
67.3653,0
67.8643,0
68.3633,0
68.8623,0
69.3613,0
69.8603,0
70.3593,0
70.8583,0
71.3573,0
71.8563,0
72.3553,0
72.8543,0
73.3533,0
73.8523,0
74.3513,0
74.8503,0
75.3493,0
75.8483,0
76.3473,0
76.8463,0
77.3453,0
77.8443,0
78.3433,0
78.8423,0
79.3413,0
79.8403,0
80.3393,0
80.8383,0
81.3373,0
