Freq,Amp
-58.3832,0
-57.8842,0
-57.3852,0
-56.8862,0
-56.3872,0
-55.8882,0
-55.3892,0
-54.8902,0
-54.3912,0
-53.8922,0
-53.3932,0
-52.8942,0
-52.3952,0
-51.8962,0
-51.3972,0
-50.8982,0
-50.3992,0
-49.9002,0.00998004
-49.4012,0.0598802
-48.9022,0.10978
-48.4032,0.159681
-47.9042,0.209581
-47.4052,0.259481
-46.9062,0.309381
-46.4072,0.359281
-45.9082,0.409182
-45.4092,0.459082
-44.9102,0.508982
-44.4112,0.558882
-43.9122,0.608782
-43.4132,0.658683
-42.9142,0.708583
-42.4152,0.758483
-41.9162,0.808383
-41.4172,0.858283
-40.9182,0.908184
-40.4192,0.958084
-39.9202,1
-39.4212,1
-38.9222,1
-38.4232,1
-37.9242,1
-37.4251,1
-36.9261,1
-36.4271,1
-35.9281,1
-35.4291,1
-34.9301,1
-34.4311,1
-33.9321,1
-33.4331,1
-32.9341,1
-32.4351,1
-31.9361,1
-31.4371,1
-30.9381,1
-30.4391,1
-29.9401,1
-29.4411,1
-28.9421,1
-28.4431,1
-27.9441,1
-27.4451,1
-26.9461,1
-26.4471,1
-25.9481,1
-25.4491,1
-24.9501,1
-24.4511,1
-23.9521,1
-23.4531,1
-22.9541,1
-22.4551,1
-21.9561,1
-21.4571,1
-20.9581,1
-20.4591,1
-19.9601,1
-19.4611,1
-18.9621,1
-18.4631,1
-17.9641,0.995509
-17.4651,0.933134
-16.9661,0.870758
-16.4671,0.808383
-15.9681,0.746008
-15.4691,0.683633
-14.9701,0.621257
-14.4711,0.558882
-13.9721,0.496507
-13.4731,0.434132
-12.9741,0.371756
-12.475,0.309381
-11.976,0.247006
-11.477,0.184631
-10.978,0.122255
-10.479,0.0598802
-9.98004,0
-9.48104,0
-8.98204,0
-8.48303,0
-7.98403,0
-7.48503,0
-6.98603,0
-6.48703,0
-5.98802,0
-5.48902,0
-4.99002,0
-4.49102,0
-3.99202,0
-3.49301,0
-2.99401,0
-2.49501,0
-1.99601,0
-1.49701,0
-0.998004,0
-0.499002,0
